ID,Title,Authors,Abstract,Keywords,Journal,Publication_Date,Year,DOI,URL,Source,Country,Language
journals/corr/abs-2312-11567,Students&apos; Perceptions and Preferences of Generative Artificial Intelligence Feedback for Programming.,Zhengdong Zhang;Zihan Dong;Yang Shi 0004;Noboru Matsuda;Thomas W. Price;Dongkuan Xu,,,CoRR,,2023,10.48550/ARXIV.2312.11567,https://doi.org/10.48550/arXiv.2312.11567,DBLP,,
conf/chi/0064CLHZA24,User Experience Design Professionals&apos; Perceptions of Generative Artificial Intelligence.,Jie Li 0064;Hancheng Cao;Laura Lin;Youyang Hou;Ruihao Zhu;Abdallah El Ali,,,CHI,,2024,10.1145/3613904.3642114,https://doi.org/10.1145/3613904.3642114,DBLP,,
journals/corr/abs-2309-15237,User Experience Design Professionals&apos; Perceptions of Generative Artificial Intelligence.,Jie Li 0064;Hancheng Cao;Laura Lin;Youyang Hou;Ruihao Zhu;Abdallah El Ali,,,CoRR,,2023,10.48550/ARXIV.2309.15237,https://doi.org/10.48550/arXiv.2309.15237,DBLP,,
journals/te/ShailendraKS24,Framework for Adoption of Generative Artificial Intelligence (GenAI) in Education.,Samar Shailendra;Rajan Kadel;Aakanksha Sharma,,,IEEE Trans. Educ.,,2024,10.1109/TE.2024.3432101,https://doi.org/10.1109/TE.2024.3432101,DBLP,,
journals/corr/abs-2408-01443,Framework for Adoption of Generative Artificial Intelligence (GenAI) in Education.,Samar Shailendra;Rajan Kadel;Aakanksha Sharma,,,CoRR,,2024,10.48550/ARXIV.2408.01443,https://doi.org/10.48550/arXiv.2408.01443,DBLP,,
journals/tele/DortaGonzalezLDG24,"Generative artificial intelligence usage by researchers at work: Effects of gender, career stage, type of workplace, and perceived barriers.",Pablo Dorta-González;Alexis J. López-Puig;María-Isabel Dorta-González;Sara M. González-Betancor,,,Telematics Informatics,,2024,10.1016/J.TELE.2024.102187,https://doi.org/10.1016/j.tele.2024.102187,DBLP,,
journals/corr/abs-2409-14570,"Generative artificial intelligence usage by researchers at work: Effects of gender, career stage, type of workplace, and perceived barriers.",Pablo Dorta-González;Alexis J. López-Puig;María-Isabel Dorta-González;Sara M. González-Betancor,,,CoRR,,2024,10.48550/ARXIV.2409.14570,https://doi.org/10.48550/arXiv.2409.14570,DBLP,,
journals/systems/AlmassaadAA24,"Student Perceptions of Generative Artificial Intelligence: Investigating Utilization, Benefits, and Challenges in Higher Education.",Ahmad Almassaad;Hayat A. Alajlan;Reem Alebaikan,,,Syst.,,2024,10.3390/SYSTEMS12100385,https://doi.org/10.3390/systems12100385,DBLP,,
https://openalex.org/W4402755921,"Student Perceptions of Generative Artificial Intelligence: Investigating Utilization, Benefits, and Challenges in Higher Education",Ahmad Almassaad;Hayat Alajlan;Reem Alebaikan,Abstract available,,Systems,,2024,10.3390/systems12100385,https://doi.org/10.3390/systems12100385,OPENALEX,,
journals/systems/Gupta24,An Empirical Evaluation of a Generative Artificial Intelligence Technology Adoption Model from Entrepreneurs&apos; Perspectives.,,,,Syst.,,2024,10.3390/SYSTEMS12030103,https://doi.org/10.3390/systems12030103,DBLP,,
https://openalex.org/W4392971193,An Empirical Evaluation of a Generative Artificial Intelligence Technology Adoption Model from Entrepreneurs’ Perspectives,Varun Gupta,Abstract available,,Systems,,2024,10.3390/systems12030103,https://www.mdpi.com/2079-8954/12/3/103/pdf?version=1710867327,OPENALEX,,
conf/iticse/SmithSCRZSIAHGF24,Early Adoption of Generative Artificial Intelligence in Computing Education: Emergent Student Use Cases and Perspectives in 2023.,C. Estelle Smith;Kylee Shiekh;Hayden Cooreman;Sharfi Rahman;Yifei Zhu 0003;Md Kamrul Siam;Michael I. Ivanitskiy;Ahmed M. Ahmed;Michael Hallinan;Alexander Grisak;Gabe Fierro,,,ITiCSE,,2024,10.1145/3649217.3653575,https://doi.org/10.1145/3649217.3653575,DBLP,,
journals/corr/abs-2411-11166,Early Adoption of Generative Artificial Intelligence in Computing Education: Emergent Student Use Cases and Perspectives in 2023.,C. Estelle Smith;Kylee Shiekh;Hayden Cooreman;Sharfi Rahman;Yifei Zhu 0003;Md Kamrul Siam;Michael I. Ivanitskiy;Ahmed M. Ahmed;Michael Hallinan;Alexander Grisak;Gabe Fierro,,,CoRR,,2024,10.48550/ARXIV.2411.11166,https://doi.org/10.48550/arXiv.2411.11166,DBLP,,
conf/lak/YanMG24,Generative Artificial Intelligence in Learning Analytics: Contextualising Opportunities and Challenges through the Learning Analytics Cycle.,Lixiang Yan;Roberto Martínez Maldonado;Dragan Gasevic,,,LAK,,2024,10.1145/3636555.3636856,https://doi.org/10.1145/3636555.3636856,DBLP,,
journals/corr/abs-2312-00087,Generative Artificial Intelligence in Learning Analytics: Contextualising Opportunities and Challenges through the Learning Analytics Cycle.,Lixiang Yan;Roberto Martínez Maldonado;Dragan Gasevic,,,CoRR,,2023,10.48550/ARXIV.2312.00087,https://doi.org/10.48550/arXiv.2312.00087,DBLP,,
conf/epiuai/MartinezWRHJS24,Towards Understanding the Interplay of Generative Artificial Intelligence and the Internet.,Gonzalo Martínez 0001;Lauren Watson;Pedro Reviriego;José Alberto Hernández 0001;Marc Juarez;Rik Sarkar,,,Epi UAI,,2024,10.1007/978-3-031-57963-9_5,https://doi.org/10.1007/978-3-031-57963-9_5,DBLP,,
journals/corr/abs-2306-06130,Towards Understanding the Interplay of Generative Artificial Intelligence and the Internet.,Gonzalo Martínez 0001;Lauren Watson;Pedro Reviriego;José Alberto Hernández 0001;Marc Juarez;Rik Sarkar,,,CoRR,,2023,10.48550/ARXIV.2306.06130,https://doi.org/10.48550/arXiv.2306.06130,DBLP,,
journals/jocss/Ferrara24,GenAI against humanity: nefarious applications of generative artificial intelligence and large language models.,,,,J. Comput. Soc. Sci.,,2024,10.1007/S42001-024-00250-1,https://doi.org/10.1007/s42001-024-00250-1,DBLP,,
journals/corr/abs-2310-00737,GenAI Against Humanity: Nefarious Applications of Generative Artificial Intelligence and Large Language Models.,,,,CoRR,,2023,10.48550/ARXIV.2310.00737,https://doi.org/10.48550/arXiv.2310.00737,DBLP,,
journals/eait/DuL24,Factors influencing students&apos; acceptance and use generative artificial intelligence in elementary education: an expansion of the UTAUT model.,Lei Du;Beibei Lv,,,Educ. Inf. Technol.,,2024,10.1007/S10639-024-12835-4,https://doi.org/10.1007/s10639-024-12835-4,DBLP,,
https://openalex.org/W4399610489,Factors influencing students’ acceptance and use generative artificial intelligence in elementary education: an expansion of the UTAUT model,Lei Du;Beibei Lv,,,Education and Information Technologies,,2024,10.1007/s10639-024-12835-4,null,OPENALEX,,
journals/ieeenl/ThorsagerLSP24,Generative Network Layer for Communication Systems With Artificial Intelligence.,Mathias Thorsager;Israel Leyva-Mayorga;Beatriz Soret;Petar Popovski,,,IEEE Netw. Lett.,,2024,10.1109/LNET.2024.3354114,https://doi.org/10.1109/LNET.2024.3354114,DBLP,,
journals/corr/abs-2312-05398,Generative Network Layer for Communication Systems with Artificial Intelligence.,Mathias Thorsager;Israel Leyva-Mayorga;Beatriz Soret;Petar Popovski,,,CoRR,,2023,10.48550/ARXIV.2312.05398,https://doi.org/10.48550/arXiv.2312.05398,DBLP,,
journals/digearth/WangHXLZNZLY24,"GPT, large language models (LLMs) and generative artificial intelligence (GAI) models in geospatial science: a systematic review.",Siqin Wang;Tao Hu 0004;Xiao Huang 0003;Yun Li 0005;Ce Zhang 0005;Huan Ning;Rui Zhu 0008;Zhenlong Li;Xinyue Ye,,,Int. J. Digit. Earth,,2024,10.1080/17538947.2024.2353122,https://doi.org/10.1080/17538947.2024.2353122,DBLP,,
https://openalex.org/W4398141811,"GPT, large language models (LLMs) and generative artificial intelligence (GAI) models in geospatial science: a systematic review",Siqin Wang;Tao Hu;Xiao Huang;Yun Li;Ce Zhang;Huan Ning;Rui Zhu;Zhenlong Li;Xinyue Ye,Abstract available,,International Journal of Digital Earth,,2024,10.1080/17538947.2024.2353122,https://www.tandfonline.com/doi/pdf/10.1080/17538947.2024.2353122?needAccess=true,OPENALEX,,
journals/eait/BowerTLPA24,How should we change teaching and assessment in response to increasingly powerful generative Artificial Intelligence? Outcomes of the ChatGPT teacher survey.,Matt Bower;Jodie Torrington;Jennifer W. M. Lai;Peter Petocz;Mark Alfano,,,Educ. Inf. Technol.,,2024,10.1007/S10639-023-12405-0,https://doi.org/10.1007/s10639-023-12405-0,DBLP,,
